0,vox,Dronodians C
1,bts,ItsUAgAIn?
2,kit,UainT@&#!
3,bts,AllmyMoMeeS
4,bts,Glo BabieeS
5,bts,Sistahoney
6,bts,IT'SLIKE Dat
7,str,StackedLegs
8,bts,Q BORO
9,vox,SingingTB
10,bts,My Girl YO
11,kit,RiDe E-Z
12,bts,DirTay drTee
13,bts,MounTenbery
14,kit,SalsA Crunk
15,vox,FemmeDoTell
16,kit,Lesster
17,key,NoMoreKlav
18,bts,LAST CHANCE
19,kit,A YO IIGHT
20,kit,GOOD MU Sic
21,syn,Sin Symph 2
22,bts,MALE BASHER
23,bts,DoitZ
24,kit,GuesWho'sBak
25,bts,U4 Got ME
26,vox,Pretteeee.II
27,bts,Dr.Banner
28,rom,I Like U
29,bts,SmoothoneZ
30,kit,TiME SquaRe
31,bts,Oh BaebeeZ
32,bts,GrungeZ
33,bts,ClapYoHandZ
34,bts,LaLaZ
35,bts,DialToneZ
36,str,Sa-Spen Ful
37,key,Perc Klav
38,key,SiMPeL
39,sfx,theHitcher
40,key,Pretteeee...
41,gtr,DaBradies
42,amb,CosmicKlasik
43,syn,WAWIFLHEAD
44,vox,Voxcade
45,key,MO 88
46,key,SOOTCaSE'300
47,arp,Plop
48,key,Doodee
49,gtr,Gen X
50,key,KeyStonE
51,str,VIRGOE
52,vox,PretteeeeIII
53,arp,AgonyOrgon
54,vox,SycoBoy
55,key,MO'E DAN
56,key,StoneGroove
57,key,WaThunk
58,vox,Vespers
59,gtr,SprinkleItOn
60,kit,EasyRider
61,syn,WeirdVox2
62,kit,Stoopit
63,syn,SilkWerm
64,syn,LadyOrgan2
65,amb,RaveSlave
66,amb,MiseryMod
67,kit,Young Luv
68,pad,TheMadSweep
69,kit,Woo Kid
70,pad,JoVox
71,bas,Razza
72,led,RaveLine
73,led,SineWorm
74,led,ProphetLine
75,bts,MO'HAPPYfeet
76,amb,YouPhoned?
77,amb,PhonedAgain?
78,pad,OB Layer
79,amb,VocodAhhh...
80,key,PhatttTines
81,bts,Luvline 1
82,bts,Luvline 2
83,bts,Luvline 3
84,key,CloudKeys
85,pad,Luxury
86,led,Glue Tone
87,kit,MarchMadnezZ
88,key,Tine Fuzzies
89,gtr,Voyeur Trax
90,bts,Boombaa
91,bts,AstralTravel
92,key,IntoTheLight
93,gtr,Psycho
94,kit,7 HiHatMode
95,key,Tine Klav
96,bts,Geechee GLO
97,kit,WhatUstarted
98,kit,BabyDoll
99,bts,New WhirlOdr
100,bts,Wile U Werk
101,kit,U NO
102,bts,HeY !
103,kit,My Main Man
104,bts,Can I Talk
105,bts,DJ GLO Jenkn
106,clk,Clockworx 2
107,prc,HiHatMono 1
108,prc,HiHatMono 2
109,key,Skini Klav
110,prc,Bells Mono
111,key,HipHopTines1
112,key,HipHopTines2
113,vox,You
114,led,Screamer
115,led,MonoBrass
116,pad,Chasers MW
117,pad,LadyPulsar
118,pad,MeltingHartz
119,arp,Low&Square
120,vox,LetsDance
121,vox,Earth Lisa
122,gtr,Disturbed
123,bts,DaPhattest
124,bts,Sunrise
125,key,ReBeckTines
126,bts,Luv Joe'ns
127,___,Default v1.0
