0,kb1,DynamicGrand
1,kb4,Yo My Dynos
2,orc,Orchestral
3,gtr,Grusty
4,bs1,A Ku Stq
5,kb3,Rock'in B
6,kb2,WideSuitcase
7,led,Zimppler
8,bs4,AnalogPlanet
9,kit,Kit 1
10,kb1,And Voice
11,sfx,MetalScience
12,syn,Silk OBXsaws
13,gtr,Stolen7Away
14,brs,Movie Brass
15,str,Dyna-heim
16,bpm,Jumping
17,vox,New Age Oohs
18,bs4,Sugar Freak
19,kb4,Clavinetti
20,kit,Acoustic 1
21,brs,BreathyTBone
22,wnd,Real Flute
23,str,Allin a Pizz
24,bs4,Walky Talk
25,str,Filmscore
26,led,L.V.'s Worm
27,kit,Bag O Tricks
28,kb2,Melosoul EP
29,wnd,Breather
30,vox,Frozen Time
31,hit,MasterBlast
32,gtr,NyloSteel
33,kb3,JimmyJazzy B
34,kit,Kit
35,bs2,Fing&Harms 2
36,kb2,Lovers Fm EP
37,syn,JunoPlseComp
38,gtr,WaaKeeGa
39,led,inBottles
40,kb1,Ballad Grand
41,kb1,Chime Grand
42,kb1,Concert Pno
43,kb1,Dance Pno
44,kb1,Elecro7CP
45,kb1,Grande
46,kb1,HonkTonkeyz
47,kb1,Klassical
48,kb1,Layer Piano
49,kb1,Miami Grand
50,kb1,Piano Mio
51,kb1,Piano&Strng1
52,kb1,Piano&Strng2
53,kb1,StereoGrand1
54,kb1,StereoGrand2
55,kb1,StereoGrand3
56,kb1,StereoGrand4
57,kb1,Sung Piano
58,kb1,Techno Piano
59,kb2,Ballad Tine
60,kb2,Classic EP 1
61,kb2,Classic EP 2
62,kb2,Classic EP 3
63,kb2,Classic EP 4
64,kb2,DooGie
65,kb2,Dynofunk EP
66,kb2,FM El Piano
67,kb2,FM EP 1
68,kb2,FM EP 2
69,kb2,FM2Classic
70,kb2,Hard Dyno
71,kb2,Hard EP
72,kb2,Hard Tine
73,kb2,Med Dyno
74,kb2,Med EP
75,kb2,Pretty EP
76,kb2,PrettyLushEP
77,kb2,Rezzroadz
78,kb2,Suitcase EP
79,kb2,Supatramp EP
80,kb2,Wurlitzer Hd
81,kb2,WurlitzerSft
82,kb2,WurlyD'Layer
83,kb3,B3 X-Wheel 1
84,kb3,B3OrganWave1
85,kb3,B3OrganWave2
86,kb3,Bally Yard
87,kb3,Clean X-Whl
88,kb3,Clicky B
89,kb3,Day
90,kb3,DirT baG
91,kb3,DirtyHertz
92,kb3,Disco
93,kb3,Drawbar
94,kb3,Drawbars
95,kb3,DX
96,kb3,DX Organ
97,kb3,Full Organ
98,kb3,Gospel Soul
99,kb3,GreenEyed
100,kb3,Gritty B Wav
101,kb3,Grundge XXX
102,kb3,JX Organ
103,kb3,Kool N Mello
104,kb3,Mellow Man
105,kb3,Nod
106,kb3,Oddd Organ
107,kb3,Org Lite
108,kb3,Organomics X
109,kb3,Perc Organ
110,kb3,Pipe Organ
111,kb3,Simple Organ
112,kb3,Testify
113,kb3,Tone Organ
114,kb3,Upper B
115,kb3,Vox 1
116,kb3,Vox 2
117,kb3,WheelSpeed B
118,kb4,Breathy
119,kb4,Clavinet 1
120,kb4,Clavinet 2
121,kb4,Clavinet 3
122,kb4,Clavin' It
123,kb4,Clavity
124,kb4,Comp Keyz 1
125,kb4,Comp Keyz 2
126,kb4,Comp Keyz 3
127,kb4,Crystal
